Wavelength,bxw2Absorbance,bxw0Absorbance
503.1857532,0.348384996,0.442513126
503.2471807,0.349936563,0.45646202
503.3086048,0.347856336,0.449571394
503.3700254,0.348196602,0.44122991
503.4314426,0.349612961,0.426495469
503.4928563,0.349695267,0.424145648
503.5542666,0.35012715,0.427439423
503.6156735,0.3533179,0.428990564
503.6770769,0.353895033,0.439714779
503.7384769,0.353145876,0.437261246
503.7998734,0.351854766,0.422571554
503.8612665,0.348918579,0.419349259
503.9226562,0.346323872,0.440278324
503.9840424,0.345647804,0.427529741
504.0454252,0.346932716,0.422344351
504.1068045,0.347228975,0.422261451
504.1681804,0.35092597,0.426986327
504.2295529,0.354102983,0.445443145
504.2909219,0.356342682,0.436634869
504.3522875,0.355956521,0.436184439
504.4136496,0.357323664,0.443033404
504.4750083,0.355091804,0.44424674
504.5363636,0.35354824,0.440866838
504.5977154,0.353953519,0.422315635
504.6590638,0.355656377,0.414383159
504.7204087,0.355659474,0.428958843
504.7817502,0.357661576,0.418284377
504.8430883,0.357580134,0.436831951
504.9044229,0.354864869,0.429948309
504.965754,0.353658034,0.438805957
505.0270818,0.351109809,0.43312435
505.0884061,0.348708207,0.449003043
505.1497269,0.349393662,0.42833731
505.2110443,0.352167692,0.414849752
505.2723583,0.354975582,0.434219946
505.3336688,0.361843352,0.436277268
505.3949759,0.366522807,0.437648292
505.4562795,0.368675222,0.462833964
505.5175798,0.370341353,0.446583187
505.5788765,0.367882556,0.463925969
505.6401698,0.360918728,0.460305202
505.7014597,0.356654318,0.431585708
505.7627462,0.353539847,0.426236402
505.8240292,0.352181504,0.45861297
505.8853087,0.35462429,0.454625977
505.9465849,0.360186445,0.462999716
506.0078575,0.365733273,0.464581698
506.0691268,0.370671016,0.485112745
506.1303926,0.373059281,0.475723203
506.1916549,0.373792611,0.459440612
506.2529139,0.372150719,0.440650121
506.3141693,0.36965763,0.453809664
506.3754214,0.368047749,0.461578243
506.43667,0.365827896,0.446568625
506.4979151,0.363554581,0.443786009
506.5591568,0.363152585,0.428260184
506.6203951,0.362707323,0.42505429
506.68163,0.36340035,0.430876067
506.7428614,0.367986044,0.425579405
506.8040893,0.373058834,0.437166632
506.8653138,0.37853861,0.46617536
506.9265349,0.380832089,0.474808096
506.9877525,0.379318707,0.451468682
507.0489667,0.375947552,0.437769545
507.1101775,0.372538744,0.455243734
507.1713848,0.369901979,0.469128449
507.2325886,0.369503997,0.456726339
507.2937891,0.371030482,0.457453129
507.3549861,0.370432094,0.446244688
507.4161796,0.37338644,0.457986244
507.4773697,0.377637949,0.44815163
507.5385564,0.382057231,0.456471787
507.5997396,0.38512128,0.484031268
507.6609194,0.390487108,0.485925456
507.7220957,0.391145736,0.494022005
507.7832687,0.387232592,0.480017769
507.8444381,0.383247259,0.472954894
507.9056041,0.378665229,0.469867734
507.9667667,0.373599844,0.464299822
508.0279259,0.369245766,0.431131105
508.0890816,0.366495723,0.449182718
508.1502338,0.367759464,0.452958378
508.2113826,0.370833561,0.436580295
508.272528,0.376730372,0.458637849
508.33367,0.384425632,0.46311054
508.3948085,0.390717987,0.479820421
508.4559435,0.393293069,0.47994365
508.5170751,0.393827127,0.495227023
508.5782033,0.392274783,0.504474421
508.6393281,0.389026688,0.497198403
508.7004494,0.386442716,0.48014523
508.7615672,0.383070362,0.464930954
508.8226816,0.381981102,0.46616056
508.8837926,0.37919936,0.441200443
508.9449001,0.377807905,0.454038558
509.0060042,0.378448935,0.437969131
509.0671049,0.381795317,0.452638161
509.1282021,0.386421193,0.460674404
509.1892959,0.392283541,0.467417816
509.2503862,0.396630632,0.465026826
509.3114731,0.40034815,0.49575892
509.3725565,0.401069032,0.492283496
509.4336365,0.399544826,0.497152949
509.4947131,0.3958459,0.492555983
509.5557862,0.390456358,0.482941607
509.6168559,0.387190634,0.482833528
509.6779222,0.38591922,0.471574217
509.738985,0.383898334,0.472974818
509.8000443,0.382716868,0.483508053
509.8611003,0.382683967,0.480364184
509.9221527,0.379551917,0.45784515
509.9832018,0.377414424,0.463666402
510.0442474,0.382828906,0.4648314
