Wavelength,roomT1min1,roomT5min1,roomT5min2
559.5837489,0.122238308,0.125333931,0.127500015
559.641932,0.121063652,0.124829115,0.12691003
559.7001116,0.120316397,0.123938904,0.126065068
559.7582877,0.120517934,0.124081188,0.125988564
559.8164604,0.120859262,0.12483001,0.126254483
559.8746297,0.123556472,0.127948494,0.129603414
559.9327956,0.127126677,0.131521299,0.133423828
559.990958,0.13219554,0.136471751,0.13875546
560.0491169,0.134967376,0.139605705,0.141446931
560.1072724,0.13549727,0.13922188,0.141660137
560.1654245,0.134738444,0.137192689,0.139817825
560.2235731,0.133078748,0.135146437,0.137817812
560.2817183,0.130247849,0.132538435,0.135302638
560.3398601,0.128782664,0.132079152,0.134979553
560.3979984,0.127886398,0.131062977,0.134071836
560.4561333,0.127590016,0.130686607,0.134013686
560.5142647,0.127041808,0.12985577,0.132640172
560.5723927,0.126021008,0.128554586,0.130722679
560.6305172,0.123551468,0.125256367,0.126557001
560.6886384,0.12121546,0.122623608,0.123735007
560.746756,0.119670123,0.120634492,0.121818068
560.8048703,0.118240046,0.119623019,0.120766363
560.862981,0.117131948,0.118476303,0.119798601
560.9210884,0.116295918,0.117800338,0.119804952
560.9791923,0.115877297,0.117661078,0.120197451
561.0372928,0.115283622,0.117182252,0.120301953
561.0953898,0.113806232,0.116340601,0.119006667
561.1534834,0.113400425,0.116154346,0.118675446
561.2115735,0.112360787,0.115655859,0.118427831
561.2696602,0.11164643,0.115725651,0.118091017
561.3277435,0.111383951,0.11472911,0.116950836
561.3858233,0.110759111,0.114352315,0.116461118
561.4438997,0.110307407,0.113957118,0.115944544
561.5019726,0.109824613,0.113304283,0.115618925
561.5600421,0.110203101,0.114079886,0.116467438
561.6181082,0.114898651,0.119439402,0.121429334
561.6761708,0.121042633,0.125803151,0.127560635
561.73423,0.126772064,0.131264094,0.133595237
561.7922857,0.129537353,0.133721472,0.135716501
561.850338,0.130500501,0.133728375,0.135339077
561.9083869,0.129466402,0.132441398,0.13361921
561.9664323,0.128183713,0.130887539,0.132049418
562.0244743,0.125677799,0.128604799,0.130309016
562.0825128,0.124927028,0.127897166,0.13003979
562.1405479,0.124480028,0.12707581,0.129107796
562.1985796,0.12129817,0.125516773,0.127308787
562.2566078,0.120213744,0.124118857,0.126002314
562.3146326,0.11858518,0.122303168,0.12420653
562.3726539,0.118440462,0.121515399,0.122928235
562.4306718,0.116657429,0.119803834,0.121569594
562.4886862,0.116335431,0.118549233,0.120032247
562.5466973,0.115727809,0.117632087,0.11919737
562.6047048,0.117788804,0.119215877,0.120763281
562.662709,0.12213627,0.124135229,0.125983281
562.7207096,0.126978045,0.129178067,0.130805811
562.7787069,0.13220984,0.134479637,0.135778549
562.8367007,0.134491463,0.137115341,0.138091405
562.8946911,0.134975283,0.137545763,0.138549306
562.952678,0.134496777,0.137078625,0.138138955
563.0106615,0.133204709,0.136114907,0.137552267
563.0686415,0.132175655,0.135211983,0.136385853
563.1266181,0.131618776,0.135284877,0.136406562
563.1845913,0.130315445,0.134153083,0.135164764
563.242561,0.1285473,0.132491214,0.133032931
563.3005273,0.126328528,0.130097878,0.130709074
563.3584902,0.125137722,0.128617319,0.129454843
563.4164496,0.124733218,0.127643171,0.128712768
563.4744055,0.122493728,0.125806725,0.127543862
563.532358,0.12073461,0.12351016,0.125565637
563.5903071,0.118753382,0.122220117,0.124751554
563.6482528,0.116289084,0.119493798,0.122182311
563.706195,0.114183619,0.118413414,0.120759604
563.7641337,0.112751509,0.116672001,0.118744468
563.822069,0.111349064,0.115055056,0.117498969
563.8800009,0.109189205,0.112770115,0.115433246
563.9379294,0.107957196,0.111145364,0.114326608
563.9958544,0.107848147,0.110377744,0.113892104
564.0537759,0.107368554,0.110429533,0.113957924
564.111694,0.107417539,0.110551861,0.114147494
564.1696087,0.10719955,0.110263496,0.113727876
564.2275199,0.106947576,0.110303705,0.113553366
564.2854277,0.106568944,0.110150203,0.11284231
564.3433321,0.106581601,0.110077302,0.112262585
564.401233,0.106673768,0.109668057,0.112049423
564.4591305,0.106373813,0.109678439,0.111942945
564.5170245,0.107069683,0.111141993,0.113254664
564.5749151,0.110253484,0.114253941,0.11624044
564.6328022,0.114122098,0.118431732,0.119835547
564.690686,0.117926658,0.121876437,0.123080692
564.7485662,0.121172785,0.124356826,0.126077319
564.8064431,0.121331958,0.123966669,0.126004747
564.8643164,0.119152698,0.122437254,0.124692463
564.9221864,0.118322272,0.121450499,0.124178661
564.9800529,0.116374672,0.119852542,0.122812635
565.037916,0.115932269,0.11936492,0.122118796
565.0957756,0.114432058,0.117903025,0.12072834
565.1536318,0.113161701,0.116520384,0.119052385
565.2114845,0.111681854,0.115725822,0.118527267
565.2693338,0.110169468,0.11443435,0.11704766
565.3271797,0.109271284,0.113415052,0.115575966
565.3850221,0.110089984,0.114125177,0.115975446
565.4428611,0.111442796,0.115637068,0.117819146
565.5006966,0.11726087,0.119700407,0.122075515
565.5585287,0.124415735,0.125464473,0.128291804
565.6163574,0.129666281,0.128980393,0.132314816
565.6741826,0.132595971,0.131797923,0.135517538
565.7320044,0.132803931,0.131593881,0.134833697
565.7898227,0.131325577,0.129741732,0.133033414
565.8476376,0.130285651,0.127984199,0.131259994
565.9054491,0.128506154,0.126497488,0.12966992
565.9632571,0.128779884,0.126812395,0.129580832
566.0210617,0.128013393,0.126436506,0.129037242
566.0788628,0.127088952,0.125715871,0.127213044
566.1366605,0.12491255,0.124643231,0.125293949
566.1944548,0.123919445,0.122955689,0.122944434
566.2522456,0.122666306,0.120993723,0.120944573
566.310033,0.12067184,0.119727525,0.119630875
566.3678169,0.11851941,0.118384502,0.118615557
566.4255974,0.117916255,0.117697144,0.118160924
566.4833744,0.116210931,0.116447452,0.117284245
566.5411481,0.11409811,0.114497574,0.115619873
566.5989182,0.112326392,0.113534451,0.115029304
566.656685,0.110501771,0.112749185,0.114498661
566.7144482,0.109728844,0.111576758,0.11326214
566.7722081,0.108472193,0.109607292,0.111225196
566.8299645,0.106314009,0.107139982,0.108900501
566.8877175,0.103585256,0.105959666,0.108310563
566.945467,0.102710323,0.105705703,0.108123556
567.0032131,0.102077076,0.104982942,0.107113077
567.0609557,0.101922821,0.104442758,0.106007619
567.1186949,0.102387705,0.1038686,0.105240246
567.1764307,0.101397674,0.103041558,0.104497995
567.234163,0.101087206,0.102067791,0.103191558
567.2918919,0.101361891,0.101565197,0.102477845
567.3496174,0.100377424,0.100454415,0.101011236
567.4073394,0.099023145,0.100475491,0.101065491
567.4650579,0.098518523,0.100709382,0.101621717
567.522773,0.098122922,0.101224542,0.102177685
567.5804847,0.099751818,0.102825823,0.104090576
567.638193,0.102809477,0.106359841,0.108087665
567.6958978,0.107083188,0.110958892,0.112687096
567.7535991,0.110965761,0.11513745,0.116955672
567.811297,0.114565037,0.118958318,0.120245995
567.8689915,0.115432065,0.120110439,0.12108455
567.9266826,0.11571348,0.119296987,0.120542458
567.9843702,0.115088787,0.119550984,0.120849612
568.0420543,0.114581924,0.119909806,0.121113969
568.099735,0.114692693,0.120170194,0.121304342
568.1574123,0.114095665,0.118923519,0.12020612
568.2150861,0.113565242,0.118013438,0.119360447
568.2727565,0.11174462,0.117053009,0.118045047
568.3304235,0.110056496,0.116243808,0.117200589
568.388087,0.110666431,0.115734674,0.116894891
568.4457471,0.114560313,0.119166341,0.120185329
568.5034037,0.119124975,0.124408683,0.125363415
568.5610569,0.124526722,0.12921116,0.130402399
568.6187066,0.126753434,0.130798898,0.132369369
568.676353,0.126525281,0.130173692,0.132132272
568.7339958,0.125145441,0.128923399,0.131166633
568.7916353,0.123963307,0.12752401,0.129393642
568.8492712,0.122321165,0.125548927,0.127057316
568.9069038,0.120541514,0.123190364,0.12482909
568.9645329,0.117513583,0.120099453,0.122427009
569.0221586,0.117447707,0.120111522,0.122883807
569.0797808,0.116660278,0.120046597,0.122990064
569.1373996,0.115534271,0.11973165,0.122904328
569.1950149,0.116266328,0.119546543,0.123120447
569.2526268,0.116375651,0.119875598,0.124004888
569.3102353,0.115856098,0.119370987,0.123764139
569.3678403,0.115396322,0.119309988,0.123809875
569.4254419,0.114013745,0.119290955,0.123301742
569.48304,0.113936238,0.119930001,0.123452106
569.5406347,0.113211814,0.118729772,0.122172392
569.598226,0.11144987,0.116661468,0.120507708
569.6558138,0.111155442,0.114729637,0.11896611
569.7133982,0.110499952,0.113124232,0.116919571
569.7709791,0.108708771,0.111628262,0.115226204
569.8285566,0.107052734,0.110639296,0.113715374
