Wavelength,45_5C_Abs,48_5C_Abs,50_0C_Abs
531.6176644,0.414364932,0.582556679,0.487712703
531.6774782,0.411208527,0.573389821,0.483260529
531.7372887,0.411245418,0.574905464,0.482522106
531.7970957,0.398910335,0.550503713,0.465853282
531.8568992,0.37933296,0.52265837,0.445843576
531.9166993,0.378971316,0.520967974,0.444583912
531.976496,0.379835445,0.524721236,0.438916444
532.0362892,0.374040597,0.51817318,0.437682233
532.096079,0.367318059,0.500179327,0.427846985
532.1558654,0.358579597,0.497493802,0.419490185
532.2156483,0.349715054,0.486459385,0.410825484
532.2754278,0.34634796,0.470946316,0.400488511
532.3352038,0.348692661,0.479459772,0.404216376
532.3949764,0.346088978,0.476230335,0.403670866
532.4547455,0.346501535,0.470510963,0.400432978
532.5145112,0.34044125,0.471795762,0.396770477
532.5742735,0.341437232,0.477323817,0.395251547
532.6340323,0.36107418,0.51785888,0.420135279
532.6937877,0.413963123,0.604961342,0.485954679
532.7535397,0.478921284,0.689613499,0.567791501
532.8132882,0.505939313,0.720041076,0.597572767
532.8730332,0.50722044,0.715752378,0.596916717
532.9327748,0.5005925,0.710356885,0.589575921
532.992513,0.490747298,0.690939416,0.578359869
533.0522478,0.478260714,0.670158753,0.571478099
533.1119791,0.469409579,0.651590112,0.550570009
533.1717069,0.458601096,0.638105809,0.536928669
533.2314314,0.44639058,0.613212329,0.515768533
533.2911523,0.431528247,0.591837996,0.500722861
533.3508699,0.420312651,0.56789993,0.484297163
533.410584,0.412488534,0.562600787,0.475446614
533.4702946,0.404873418,0.550312216,0.469404505
533.5300018,0.397668865,0.543808922,0.456937781
533.5897056,0.392202231,0.542528245,0.454386373
533.649406,0.393636447,0.545213921,0.456307562
533.7091029,0.387217852,0.537464782,0.450747311
533.7687963,0.379652397,0.524228321,0.439234243
533.8284863,0.366977338,0.509980695,0.429031261
533.8881729,0.361792613,0.500456294,0.42787574
533.947856,0.355495909,0.487125477,0.416268871
534.0075357,0.345642698,0.479544824,0.406381328
534.067212,0.346128282,0.481061113,0.403268214
534.1268848,0.347082285,0.484868077,0.405929056
534.1865542,0.340643664,0.477125172,0.398255539
534.2462201,0.337859272,0.478243528,0.393423015
534.3058826,0.341191839,0.483098318,0.401910393
534.3655416,0.339205296,0.47715247,0.399033771
534.4251972,0.334728587,0.465086251,0.391762354
534.4848494,0.334681724,0.473106157,0.393045096
534.5444981,0.341284472,0.487995998,0.404446135
534.6041434,0.359554242,0.516231399,0.426655858
534.6637853,0.411871602,0.6013609,0.485812653
534.7234237,0.474331536,0.686124805,0.556471456
534.7830586,0.494373778,0.692668519,0.574959941
534.8426902,0.497298792,0.694219029,0.575497516
534.9023183,0.486061953,0.685711698,0.567460113
534.9619429,0.472017383,0.666753212,0.552241775
535.0215641,0.472088716,0.665165368,0.550105797
535.0811819,0.470659437,0.661700709,0.549027062
535.1407962,0.457680993,0.6372173,0.533723244
535.2004071,0.444450541,0.610556382,0.515835247
535.2600145,0.438223165,0.603726528,0.508369257
535.3196185,0.42840907,0.588297642,0.496781615
535.3792191,0.415171369,0.571236266,0.482535087
535.4388162,0.401983346,0.544646509,0.459435042
535.4984099,0.391907183,0.537077507,0.452870519
535.5580001,0.39368346,0.546975766,0.456648814
535.6175869,0.395516528,0.539935772,0.457641806
535.6771703,0.392485447,0.541380276,0.455963478
535.7367502,0.381338769,0.519227757,0.441115759
535.7963266,0.369865354,0.509386364,0.432523945
535.8558997,0.366609785,0.512064117,0.42557547
535.9154693,0.36397591,0.508873248,0.425338344
535.9750354,0.36655009,0.50759769,0.427752627
536.0345981,0.36192127,0.498518682,0.420588927
536.0941574,0.354597218,0.490365254,0.408815223
536.1537132,0.349541083,0.484295532,0.401923507
536.2132656,0.346317315,0.475648045,0.39880871
536.2728146,0.348143328,0.479910107,0.400339878
536.3323601,0.336456487,0.468056197,0.392492444
536.3919022,0.327630261,0.457863439,0.386728768
536.4514408,0.327967856,0.453069209,0.380808239
536.510976,0.325725556,0.444636822,0.374898845
536.5705077,0.325653722,0.45166676,0.374355067
536.630036,0.339564519,0.486125574,0.396795444
536.6895609,0.385587252,0.557161857,0.451397105
536.7490823,0.440435142,0.653429276,0.526002842
536.8086003,0.488046384,0.702660623,0.577389425
536.8681149,0.501004968,0.702591528,0.588812871
536.927626,0.494189051,0.692516827,0.57919702
536.9871336,0.480504508,0.678226354,0.568267085
537.0466379,0.471074193,0.659057151,0.553576298
537.1061386,0.464536155,0.65456184,0.544341816
537.165636,0.461236027,0.645744079,0.541885936
537.2251299,0.446632324,0.619813259,0.52133396
537.2846203,0.437480861,0.605005906,0.512030954
537.3441074,0.431392643,0.602225814,0.503036438
537.4035909,0.425692599,0.590897275,0.497743548
537.4630711,0.423217334,0.585165338,0.490809657
537.5225478,0.412946543,0.570173463,0.480047144
537.582021,0.405198423,0.56355591,0.473805418
537.6414909,0.409977935,0.571342789,0.482512974
537.7009572,0.410866101,0.573087586,0.478939987
537.7604202,0.404929866,0.563924824,0.468444
537.8198797,0.393525978,0.541663586,0.456957391
537.8793357,0.379602513,0.524882438,0.442260495
537.9387883,0.378220271,0.520620974,0.439384117
537.9982375,0.36754329,0.508408028,0.42789705
538.0576832,0.360127126,0.492988424,0.417328854
538.1171255,0.354286352,0.488370585,0.409951365
538.1765644,0.349207059,0.491276497,0.410493655
538.2359998,0.341293866,0.477327226,0.405418023
538.2954318,0.335211939,0.469401853,0.398066997
538.3548603,0.330227054,0.467016502,0.390442363
538.4142854,0.329841936,0.458291212,0.382483383
538.473707,0.321278413,0.443661197,0.372742705
538.5331253,0.317694985,0.450457444,0.377315253
